Ay N
-0.05338 -3497.88
-0.04421 -3476.25
-0.03269 -3449.05
-0.01835 -3415.11
-0.00061 -3373.07
0.02121 -3321.28
0.04787 -3257.79
0.08027 -3180.40
0.11938 -3086.64
0.16617 -2973.90
0.22157 -2839.74
0.28620 -2682.22
0.36021 -2500.50
0.44302 -2295.51
0.53309 -2070.54
0.62793 -1831.41
0.72433 -1585.98
0.81883 -1343.06
0.90831 -1110.91
0.99044 -896.03
1.06385 -702.52
1.12806 -532.10
1.18330 -384.64
1.23023 -258.76
1.26972 -152.37
1.30274 -63.14
1.33018 11.25
1.35290 72.99
1.37164 124.01
1.38704 166.00
1.39964 200.40
1.40991 228.45
1.41821 251.18
1.42488 269.43
1.43018 283.94
1.43432 295.30
1.43750 304.01
1.43987 310.50
1.44155 315.12
1.44265 318.15
1.44327 319.85
1.44348 320.42
1.44335 320.05
1.44292 318.88
1.44225 317.03
1.44137 314.62
1.44032 311.74
1.43912 308.46
1.43780 304.85
1.43639 300.97
1.43489 296.86
1.43333 292.57
1.43171 288.14
1.43005 283.59
1.42836 278.95
1.42664 274.25
1.42491 269.50
1.42316 264.72
1.42141 259.93
1.41966 255.14
1.41791 250.35
1.41617 245.58
1.41443 240.84
1.41271 236.13
1.41100 231.45
1.40931 226.82
1.40763 222.24
1.40597 217.70
1.40433 213.21
1.40271 208.78
1.40111 204.41
1.39953 200.09
1.39797 195.83
1.39643 191.63
1.39492 187.50

-0.75939 -1801.31
-0.76140 -1806.09
-0.76344 -1810.92
-0.76549 -1815.80
-0.76757 -1820.71
-0.76965 -1825.65
-0.77174 -1830.62
-0.77384 -1835.60
-0.77595 -1840.59
-0.77804 -1845.57
-0.78013 -1850.52
-0.78220 -1855.43
-0.78424 -1860.27
-0.78625 -1865.03
-0.78821 -1869.67
-0.79010 -1874.17
-0.79192 -1878.47
-0.79363 -1882.54
-0.79523 -1886.33
-0.79668 -1889.76
-0.79794 -1892.77
-0.79900 -1895.27
-0.79979 -1897.16
-0.80028 -1898.30
-0.80039 -1898.57
-0.80006 -1897.79
-0.79920 -1895.76
-0.79771 -1892.22
-0.79547 -1886.90
-0.79233 -1879.44
-0.78811 -1869.43
-0.78259 -1856.36
-0.77553 -1839.61
-0.76662 -1818.47
-0.75548 -1792.03
-0.74165 -1759.24
-0.72461 -1718.82
-0.70370 -1669.23
-0.67818 -1608.68
-0.64716 -1535.10
-0.60967 -1446.17
-0.56465 -1339.39
-0.51107 -1212.30
-0.44805 -1062.79
-0.37505 -889.65
-0.29220 -693.13
-0.20052 -475.65
-0.10210 -242.18
0.00000 0.00
0.10210 242.18
0.20052 475.65
0.29220 693.13
0.37505 889.65
0.44805 1062.79
0.51107 1212.30
0.56465 1339.39
0.60967 1446.17
0.64716 1535.10
0.67818 1608.68
0.70370 1669.23
0.72461 1718.82
0.74165 1759.24
0.75548 1792.03
0.76662 1818.47
