Ay N
-1.43489 -296.86
-1.45784 -231.22
-1.47652 -176.01
-1.49159 -129.62
-1.50365 -90.63
-1.51318 -57.89
-1.52059 -30.38
-1.52623 -7.28
-1.53038 12.11
-1.53329 28.36
-1.53514 41.97
-1.53612 53.34
-1.53636 62.82
-1.53597 70.68
-1.53507 77.17
-1.53373 82.49
-1.53202 86.81
-1.53001 90.28
-1.52774 93.02
-1.52525 95.14
-1.52260 96.73
-1.51980 97.86
-1.51688 98.59
-1.51387 98.99
-1.51079 99.10
-1.50765 98.97
-1.50447 98.63
-1.50127 98.11
-1.49804 97.43
-1.49480 96.63
-1.49156 95.72

1.54746 54.80
1.54858 48.30
1.54918 40.53
1.54918 31.25
1.54845 20.19
1.54686 7.05
1.54424 -8.57
1.54041 -27.12
1.53512 -49.15
1.52810 -75.32
1.51903 -106.43
1.50749 -143.41
1.49302 -187.38
1.47506 -239.69
1.45296 -301.87
1.42594 -375.72
1.39314 -463.22
1.35360 -566.49
1.30633 -687.68
1.25034 -828.65
1.18486 -990.60
1.10946 -1173.51
1.02432 -1375.47
0.93045 -1592.18
0.82973 -1816.77
0.72480 -2040.35
0.61858 -2253.12
0.51376 -2445.85
0.41224 -2611.01
0.31490 -2743.36
0.22157 -2839.74
0.13122 -2898.60
0.04225 -2919.30
-0.04725 -2901.73
-0.13917 -2846.04
-0.23511 -2752.88
-0.33604 -2623.77
-0.44207 -2461.73
-0.55219 -2271.87
-0.66431 -2061.47
-0.77553 -1839.61
-0.88266 -1616.01
-0.98281 -1399.59
-1.07387 -1197.35
-1.15469 -1013.79
-1.22499 -850.97
-1.28518 -709.07
-1.33608 -586.96
-1.37871 -482.83
-1.41412 -394.57
-1.44335 -320.05
-1.46731 -257.29
-1.48684 -204.49
-1.50262 -160.09
-1.51527 -122.75
-1.52528 -91.34
-1.53309 -64.91
-1.53904 -42.66
-1.54344 -23.93
-1.54654 -8.16
-1.54853 5.11
-1.54960 16.27
-1.54990 25.64
-1.54954 33.49
-1.54863 40.04
-1.54725 45.50
-1.54549 50.02
-1.54341 53.74
